i_event,id_x,id_y,id_z,v_x,v_y,v_z
130867,405.14285714285717,294.14285714285717,0,-33.96428571428571,0.2857142857142918,1
130877,522.2857142857143,302.0,1,1.48571428571438,1.5,1
130878,119.15384615384616,338.46153846153845,1,-61.02797202797203,9.279720279720266,1
130879,119.18181818181819,338.45454545454544,1,-61.04040404040404,9.454545454545439,1
130888,581.125,310.875,0,10.03125,4.46875,1
130889,581.125,310.875,0,10.03125,4.46875,1
130905,528.0,283.7142857142857,2,2.2000000000000455,-2.7857142857142776,1
130906,529.0,283.0,2,2.75,-2.75,1
130913,474.0,314.7142857142857,2,-1.0,-1.085714285714289,1
130915,411.5,189.0,0,-32.375,-26.0,1
130916,460.3333333333333,191.0,1,-29.02380952380952,-19.214285714285722,1
130917,497.57894736842104,221.0,1,1.8752436647173454,-7.518518518518505,1
130918,502.875,252.625,1,-0.625,1.2249999999999943,1
130923,607.2,250.0,2,6.8363636363636715,0.5454545454545325,1
130924,607.2222222222222,250.0,2,6.822222222222194,0.5,1
130964,325.5,216.5,1,-57.78571428571428,36.5,1
130977,520.8,300.5,0,-5.050000000000011,1.875,1
130978,180.1818181818182,329.1818181818182,0,-90.20454545454545,9.045454545454547,1
130979,180.22222222222223,329.0,0,-376.4444444444444,13.444444444444457,1
131005,525.8,286.5,1,2.1333333333333258,-1.3888888888889142,1
131006,526.25,285.75,1,-3.6875,-1.8125,1
131013,475.0,315.8,1,-1.0,-0.19999999999998863,1
131016,489.35714285714283,210.21428571428572,0,-12.910714285714292,-20.69642857142857,1
131017,495.7037037037037,228.5185185185185,0,-11.324074074074076,-16.120370370370374,1
131018,503.5,251.4,0,-9.375,-10.399999999999999,1
131023,600.3636363636364,249.45454545454547,1,5.238636363636374,-0.6704545454545325,1
131024,600.4,249.5,1,5.399999999999977,-0.8333333333333428,1
131064,383.2857142857143,180.0,0,-39.42857142857143,-28.25,1
131065,516.0,182.0,2,13.5,21.0,1
131066,758.0,44.2,2,55.77777777777783,-40.24444444444444,1
131067,758.0,44.2,2,30.909090909090878,-30.436363636363637,1
131079,556.6666666666666,315.55555555555554,2,1.6666666666666288,2.555555555555543,1
131084,481.8181818181818,509.1818181818182,1,-11.181818181818187,36.18181818181819,1
131105,523.6666666666666,287.8888888888889,0,-4.333333333333343,-1.2777777777777715,1
131113,476.0,316.0,0,-16.25,5.75,1
131123,595.125,250.125,0,13.53125,-10.71875,1
131124,595.0,250.33333333333334,0,13.5,-10.666666666666664,1
131165,502.5,161.0,1,12.5,21.285714285714278,1
131166,702.2222222222222,84.44444444444444,1,2.60683760683753,-22.17094017094017,1
131167,727.0909090909091,74.63636363636364,1,27.47552447552448,-31.979020979020973,1
131176,495.1111111111111,268.6666666666667,2,1.6111111111110858,-2.8333333333333144,1
131177,495.1111111111111,268.6666666666667,2,1.6111111111110858,-2.8333333333333144,1
131179,555.0,313.0,1,1.875,2.875,1
131184,493.0,473.0,0,-12.0,45.0,1
131230,310.5,437.5,2,-24.0,20.0,1
131231,310.5,437.5,2,-129.13636363636363,133.59090909090907,1
